T_cells	CD8_T_cells	Cytotoxic_lymphocytes	B_lineage	NK_cells	Monocytic_lineage	Myeloid_dendritic_cells	Neutrophils	Endothelial_cells	Fibroblasts
TCGA-91-8497-01A	3.42640070100569	2.07099101041978	1.42103250682931	4.62433204901114	0.538749951885247	3.81557187731479	4.20046083172975	2.81125056116294	3.8700698385628	6.16553671173031
TCGA-78-7145-01A	1.73954777997781	0.467012579135933	0.685727892385571	1.70913358630518	0.0746839330957158	3.79275253585294	3.39364846727666	2.3907588659543	3.44561673232213	6.7324189414999
TCGA-69-7973-01A	2.27846334712065	4.53594892004403	1.18837410554045	2.77827119123351	0.961453279504197	3.40065045295479	1.81018147620616	3.10541318909091	4.07115776881491	7.21962841937964
TCGA-80-5611-01A	2.41238504867025	2.04364798285997	1.50264192182877	1.6310651043253	0.50855439022426	4.7981638555804	3.17212862077763	2.14890563485225	1.94220055839907	5.44535749161295
TCGA-91-6849-01A	2.22827825446148	2.21850218980855	1.7733079805727	3.7367840362793	0.38887845660882	3.75872360856131	3.28085056808169	2.76617959503431	2.98245459106313	5.68203837963756
TCGA-49-AAR9-01A	1.27607823581601	1.81880099148079	1.18705616763627	0.719938065913736	0.269521315425905	3.06624266248115	0.457564444339624	2.0422280746594	2.36053645571939	6.38689791877701
TCGA-86-8669-01A	2.75226194449927	2.02611506829952	1.39449419033544	2.71415815440756	0.360140940718935	3.68617479627999	3.64192911187569	2.55767741502756	3.30884769149082	5.3051199954013
TCGA-86-8279-01A	1.71449340740197	0.791049009241496	0.775355240439223	1.38446784033682	0.212104046424042	3.48760016059791	3.78186087152811	2.46156591281817	3.12414980014238	7.64049658964263
TCGA-75-6206-01A	1.94612217841943	1.52017702897215	0.995674159043811	1.38913579388488	0.294426278255901	4.32850792837059	2.91517900435029	2.65690159021952	3.89500086920752	6.41776653214744
TCGA-75-6214-01A	1.70453701703719	1.69536323665644	0.770545535112286	0.694665860900375	0.235099238958083	2.66850307971603	1.68316462128311	2.58290956881203	2.15778642520066	5.59194489198451
TCGA-49-6744-01A	3.31076667428649	3.44769436766871	2.06972930644473	3.17359283291165	0.656861708803866	4.24185906933528	4.63575113602337	2.68716962239429	3.8054083546476	7.57716857286165
TCGA-64-1680-01A	1.85041380991836	1.35845804574375	0.839702672127233	1.43370179012044	0.140669404696471	2.63129517576167	1.96626096386841	2.5827045730958	2.42554466984964	5.02502874755445
TCGA-55-8091-01A	2.49628102981127	1.28046600410022	1.55781259076178	1.58734740240627	0.766903846144805	4.48146992877681	3.94365934957698	3.28760634503128	3.43457282300271	7.755706021398
TCGA-44-A47B-01A	2.95966095327618	2.84589987686645	2.41714728237695	1.8266592701096	1.22340162583322	4.18077887380791	2.58158295401108	2.54035754155709	3.0187264454526	6.44787179472953
TCGA-73-4676-01A	1.3337439579887	2.06315675132059	1.20265909927743	1.10279728724994	0.251795334628859	4.01586143858749	2.69140831808534	2.64856782486809	3.34145895077511	6.10575566777048
TCGA-55-6982-01A	2.12837683955382	2.20847111167161	0.986373189944108	3.03479594294137	0.184931044240585	4.23342657183723	2.66955686001258	2.35310146419791	2.68208828907655	7.7086570639783
TCGA-4B-A93V-01A	2.0460827890148	1.67866359845312	1.53109299923159	1.83248321827682	0.568800264657593	3.07406308558966	1.32389997224459	2.2806225450679	2.34438348355719	4.96549768744404
TCGA-62-A46Y-01A	2.63581342027525	2.47915228187599	1.85182274468038	2.37674244914296	0.321971303790186	4.24201509571145	4.19280339593928	2.8810453390873	3.26955994429781	5.18748292315937
TCGA-78-7160-01A	3.23249339627268	3.75277648302872	2.246927782304	2.80610592930444	1.57653265249191	5.24189741953011	3.52530393156836	3.55659671507066	4.04610844012742	7.11434868250799
TCGA-44-2656-01A	3.0869246855032	4.4789387125671	2.74618620916925	2.7903439380749	0.870957521714357	4.96549962124176	3.68509581671091	2.42888687828026	3.27522523564381	6.38996934758894
TCGA-75-7025-01A	2.81170773927311	2.33495823138233	1.45045818797984	3.57590003732678	0.232468085650784	3.44537956397318	4.50752949520712	2.60933867404396	3.23184946228165	6.5701432469787
TCGA-L4-A4E5-01A	2.32875688999601	1.66935539547155	1.26134172810115	1.62922798415849	0.38632592535863	3.03369164783183	2.49014111684333	2.36440232057119	2.67163707647034	6.21738063978393
