B_cell	T_cell_CD4	T_cell_CD8	Neutrophil	Macrophage	DC
TCGA-80-5611-01A	0.0556726508033664	0.1459031620134	0.150359014191549	0.15352330621262	0.074745362355846	0.542049029183892
TCGA-91-6849-01A	0.0934856877215631	0.11072864724006	0.183953747662888	0.127730851221199	0.0426823239131119	0.516671373637751
TCGA-49-AAR9-01A	0.0300399308149278	0.116170288411625	0.111752733278401	0.0957977414189036	0.0221026548533464	0.44319860896312
TCGA-86-8669-01A	0.078821016613416	0.141252562332502	0.16806177549129	0.116867273781546	0.0593797723656295	0.489927112931478
TCGA-86-8279-01A	0.0595033261640113	0.129745423596563	0.105218490314892	0.114100728918318	0.0427135646510169	0.479629473711075
TCGA-75-6206-01A	0.0447625631900343	0.132292110385587	0.144301690221264	0.124971714776808	0.0717634592237828	0.503267482133596
TCGA-75-6214-01A	0.0317756524532797	0.105047705910683	0.118372879270709	0.110681319031472	0.037851041292107	0.421960208234781
TCGA-49-6744-01A	0.086597895505806	0.156363644269015	0.195938897203956	0.146510830105402	0.0532062834256588	0.562773897661581
TCGA-64-1680-01A	0.0731887568583778	0.0905087652705562	0.154629181927586	0.10064920191821	0.0490874104465523	0.436982409145972
TCGA-55-8091-01A	0.0666383298799071	0.142056896124663	0.163033167293589	0.150594490742401	0.0598549088429461	0.524676331239668
TCGA-44-A47B-01A	0.0476026030206668	0.143663980350066	0.180981451609701	0.12701476228295	0.075369031533586	0.490477780508216
TCGA-73-4676-01A	0.0471796031693664	0.0937677035881081	0.160204213902352	0.126102476186367	0.0689568927397297	0.483137380831463
TCGA-55-6982-01A	0.0799650242192457	0.131857391320871	0.142249161114046	0.131270483452316	0.0579459336015751	0.525016638027919
TCGA-4B-A93V-01A	0.0688495823935334	0.0922633792874612	0.146617728731768	0.0983759924496112	0.00946874727398052	0.421206539621235
TCGA-62-A46Y-01A	0.0759205229157732	0.150706771969183	0.165406855786468	0.14102625183546	0.0629995161220174	0.524093829885888
TCGA-78-7160-01A	0.0784299128930781	0.148614063811741	0.228080805655293	0.147920536198362	0.0758510936228159	0.547528374875373
TCGA-44-2656-01A	0.0883400770783899	0.119599635632453	0.245191508169054	0.147125464813754	0.0771628594393119	0.526376556263747
TCGA-75-7025-01A	0.0990910898918819	0.15554284405523	0.166139821492225	0.126220430415222	0.0475085287061892	0.513143913864579
TCGA-L4-A4E5-01A	0.0575755024021156	0.128864790648431	0.122474644410643	0.097182850900717	0.0298442231755387	0.429687048567698
TCGA-50-5051-01A	0.0801670645578252	0.116884420315314	0.0923026794536259	0.0909631995085216	0.0212035450544853	0.412429609927285
TCGA-64-1681-01A	0.0692241620505669	0.144132566050312	0.141139963513439	0.125373222157733	0.0409759014745728	0.51464089349974
TCGA-78-7161-01A	0.0361123044585916	0.124443134753039	0.111818401650353	0.0995144100474673	0.0355326393628922	0.373246633473369
TCGA-05-4426-01A	0.0500799585527068	0.150199685820959	0.142618495446457	0.133537072591368	0.0493316287469362	0.508024767318445
TCGA-50-5049-01A	0.105172354541914	0.153974697058693	0.229103485064734	0.159872851932691	0.0790009987327539	0.566191146080226
TCGA-44-8120-01A	0.0691472363593657	0.148538225355219	0.167089620945925	0.131258765280404	0.0653807775180443	0.499932608765989
TCGA-86-7713-01A	0.0477406172868225	0.129895476867258	0.138035981465701	0.112660951409845	0.0409266332806384	0.44437891551399
TCGA-67-3773-01A	0.0592292230891723	0.118296729995424	0.178732044438937	0.133007173993164	0.059523548805595	0.500868633233858
TCGA-44-A479-01A	0.109513185175553	0.162693406363888	0.208012713155485	0.143519188366358	0.0735103479772372	0.514309948709252
TCGA-50-8460-01A	0.0807187854629886	0.154304160621128	0.159039633277428	0.119232032731024	0.0299289214068812	0.519977778221466
TCGA-05-4422-01A	0.100188958941086	0.146160060827185	0.191509936039032	0.120969588076074	0.0618876985459408	0.496959983715737
TCGA-05-4390-01A	0.0594492901138232	0.115259971740449	0.118684648215019	0.116238670431243	0.0557522611082165	0.446192986138054
TCGA-91-6830-01A	0.0699643776579855	0.136736052578246	0.208789557042784	0.154683607940739	0.0814816153762806	0.511304826115346
TCGA-50-5068-01A	0.0945733395011001	0.108918375768248	0.202502075125475	0.146596234860932	0.0455884328535505	0.514303266567297
TCGA-44-7669-01A	0.0792646160940947	0.134174715471234	0.191556488998206	0.142590566503991	0.0861596322237216	0.498392359427165
TCGA-50-5066-01A	0.0899867264781427	0.0748171613554015	0.22847219473407	0.139447182839183	0.0552848642483646	0.501155976431787
TCGA-64-5815-01A	0.0609998444582063	0.159125075197914	0.13613127159622	0.138695642983977	0.0536327632445086	0.566553939056958
TCGA-50-5939-01A	0.100007969218146	0.152122150508125	0.142681847944298	0.148225041705898	0.0644994567406904	0.52269486462518
TCGA-MP-A4TA-01A	0.0675561684712797	0.127879672575958	0.160973326844274	0.128965502204518	0.0457396454433839	0.480923478252191
TCGA-97-A4M1-01A	0.0564012827178579	0.149359858362919	0.155996975031052	0.124320609169424	0.0573893581737636	0.505851800562069
TCGA-44-5645-01B	0.0937451214699923	0.170072095546799	0.199264671287901	0.132611136322151	0.0668593339944708	0.495952727715116
TCGA-64-1677-01A	0.0908587558813008	0.108204731683001	0.164086776020099	0.117654922413829	0.0125528582010263	0.457378066907255
